!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2025-06-13 13:13:52

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151/1

[DEVICE]
SAM_8166

# Correlated color temperature (K)
[LAMP_CCT]
2977.5

# wavelength (nm)	bandwidth (nm)	irradiance (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
90	601.08	1.646893	1.58	0.020034	0.026849	30232.60	2.27	30436.66	2.23
91	604.38	1.610145	1.58	0.019904	0.026644	30027.35	1.90	30224.46	2.60
92	607.68	1.576063	1.58	0.020026	0.026990	29831.05	2.05	30030.26	2.88
93	610.97	1.546129	1.58	0.019907	0.026582	29687.65	2.34	29889.66	2.69
94	614.27	1.519391	1.58	0.020034	0.026972	29585.15	1.85	29786.36	2.96
95	617.56	1.495707	1.58	0.019915	0.026592	29525.55	1.90	29725.96	2.64
96	620.86	1.474012	1.58	0.020031	0.026910	29494.20	2.27	29694.46	2.73
97	624.15	1.453477	1.58	0.019917	0.026866	29494.40	1.74	29691.06	2.47
98	627.45	1.434795	1.58	0.020037	0.026471	29504.10	2.12	29704.36	2.78
99	630.74	1.418521	1.58	0.019912	0.026540	29550.05	1.78	29752.76	2.55
100	634.04	1.403508	1.58	0.020034	0.026449	29603.15	1.69	29806.46	2.47
101	637.33	1.390091	1.58	0.019894	0.026551	29681.20	2.28	29884.06	3.35
102	640.62	1.377548	1.58	0.020035	0.026149	29757.75	1.89	29964.76	2.82
103	643.92	1.367218	1.58	0.019910	0.026530	29876.35	2.24	30084.66	2.59
104	647.21	1.358438	1.58	0.020041	0.026698	30021.70	1.56	30230.66	2.87
105	650.50	1.351824	1.58	0.019903	0.026379	30198.75	1.76	30415.06	2.37
106	653.80	1.346150	1.59	0.020035	0.026466	30414.65	2.29	30638.66	2.68
107	657.09	1.341058	1.59	0.019902	0.026772	30642.40	2.02	30871.66	3.13
108	660.38	1.337697	1.59	0.020033	0.026214	30900.80	2.40	31135.26	2.34
109	663.67	1.335567	1.59	0.019913	0.026547	31163.35	2.14	31398.26	2.54
110	666.97	1.335956	1.59	0.020030	0.026564	31461.30	1.85	31706.36	2.56
111	670.26	1.336462	1.59	0.019909	0.026785	31769.25	1.92	32018.96	2.78
