!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-06-27 09:41:12

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_717

[PANEL_ID]
SG3151_2019

[DEVICE]
SAM_8166

# Correlated color temperature (K)
[LAMP_CCT]
2990.7

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
616.00	0.00	131.7571	1.23
616.50	0.00	132.0250	1.23
617.00	0.00	132.2925	1.23
617.50	0.00	132.5597	1.23
618.00	0.00	132.8264	1.23
618.50	0.00	133.0928	1.23
619.00	0.00	133.3588	1.23
619.50	0.00	133.6244	1.23
620.00	0.00	133.8897	1.23
620.50	0.00	134.1545	1.23
621.00	0.00	134.4190	1.23
621.50	0.00	134.6830	1.23
622.00	0.00	134.9467	1.23
622.50	0.00	135.2100	1.23
623.00	0.00	135.4729	1.23
623.50	0.00	135.7354	1.23
624.00	0.00	135.9975	1.23
624.50	0.00	136.2592	1.23
625.00	0.00	136.5205	1.23
625.50	0.00	136.7814	1.23
626.00	0.00	137.0419	1.23
626.50	0.00	137.3020	1.23
627.00	0.00	137.5617	1.23
627.50	0.00	137.8209	1.23
628.00	0.00	138.0798	1.23
628.50	0.00	138.3383	1.23
629.00	0.00	138.5963	1.23
629.50	0.00	138.8540	1.23
630.00	0.00	139.1112	1.23
630.50	0.00	139.3681	1.23
631.00	0.00	139.6245	1.23
631.50	0.00	139.8805	1.23
632.00	0.00	140.1360	1.23
632.50	0.00	140.3912	1.23
633.00	0.00	140.6459	1.23
633.50	0.00	140.9002	1.23
634.00	0.00	141.1541	1.23
634.50	0.00	141.4076	1.23
635.00	0.00	141.6606	1.23
635.50	0.00	141.9133	1.23
636.00	0.00	142.1655	1.23
636.50	0.00	142.4172	1.23
637.00	0.00	142.6686	1.23
637.50	0.00	142.9195	1.23
638.00	0.00	143.1700	1.23
638.50	0.00	143.4200	1.23
639.00	0.00	143.6696	1.23
639.50	0.00	143.9188	1.23
640.00	0.00	144.1676	1.23
640.50	0.00	144.4159	1.23
641.00	0.00	144.6638	1.23
641.50	0.00	144.9112	1.23
642.00	0.00	145.1582	1.23
642.50	0.00	145.4048	1.23
643.00	0.00	145.6509	1.23
643.50	0.00	145.8966	1.23
644.00	0.00	146.1418	1.23
644.50	0.00	146.3866	1.23
645.00	0.00	146.6310	1.23
645.50	0.00	146.8749	1.23
646.00	0.00	147.1184	1.23
646.50	0.00	147.3614	1.23
647.00	0.00	147.6040	1.23
647.50	0.00	147.8461	1.23
648.00	0.00	148.0878	1.23
648.50	0.00	148.3291	1.23
649.00	0.00	148.5699	1.23
649.50	0.00	148.8102	1.23
650.00	0.00	149.0501	1.23
650.50	0.00	149.2895	1.23
651.00	0.00	149.5285	1.23
651.50	0.00	149.7671	1.23
652.00	0.00	150.0052	1.23
652.50	0.00	150.2428	1.23
653.00	0.00	150.4800	1.23
653.50	0.00	150.7167	1.23
654.00	0.00	150.9530	1.23
654.50	0.00	151.1888	1.23
655.00	0.00	151.4241	1.23
655.50	0.00	151.6590	1.23
656.00	0.00	151.8935	1.23
656.50	0.00	152.1274	1.23
