# Example data set collected in the Marsdiep at the NIOZ jetty
#
# This row is empty
# This row is empty
# Location: South of Texel island, the Netherlands
# Latitude: 53.001788
# Longitude:  4.789151
# Date, Time: 4/9/2023, 14:40:00 UTC
# Secchi Depth, [m]: n. a.
# Air Temperature, [degC]: n. a.
# Sea Temperature, [degC]: n. a.
# Wind Speed, [m/s]: 5.4
# Wind Direction, [deg]: n. a.
# Depth, [m]: n. a.
# 
"Wavelength, [nm]","Sky Radiance, [mW/(m^2 nm sr)]","Upwelling Radiance, [mW/(m^2 nm sr)]","Downwelling Irradiance, [mW/(m^2 nm)]"
633,25.24,5.3124,623.29
634,25.192,5.305,624.74
635,25.154,5.2975,626.19
636,25.117,5.2886,627.55
637,25.079,5.2774,628.85
638,25.019,5.2661,630.14
639,24.959,5.2538,631.13
640,24.899,5.2259,630.81
641,24.796,5.1981,630.49
642,24.673,5.1702,630.17
643,24.549,5.1283,628.1
644,24.415,5.0813,625.72
645,24.26,5.0343,623.34
646,24.104,4.9842,620.69
647,23.949,4.9294,617.78
648,23.787,4.8747,614.88
649,23.624,4.8192,611.91
650,23.462,4.7514,608.69
651,23.306,4.6836,605.47
652,23.154,4.6158,602.24
653,23.002,4.5444,600.04
654,22.874,4.4715,598.01
655,22.803,4.3987,595.98
656,22.733,4.3322,595.95
657,22.662,4.2756,597.78
658,22.686,4.219,599.6
659,22.717,4.1638,601.91
660,22.747,4.1305,606.3
661,22.761,4.0972,610.69
662,22.764,4.0639,615.08
663,22.768,4.0284,617.35
664,22.763,3.992,619.25
665,22.735,3.9556,621.16
666,22.706,3.9216,621.97
667,22.678,3.8913,621.81
668,22.599,3.8611,621.64
669,22.515,3.8316,621.39
670,22.432,3.8146,620.77
671,22.348,3.7977,620.15
672,22.264,3.7808,619.52
673,22.18,3.7724,619.03
674,22.093,3.7673,618.55
675,21.999,3.7622,618.08
676,21.904,3.7568,617.23
677,21.81,3.7509,616.07
678,21.642,3.7451,614.9
679,21.465,3.7377,612.75
680,21.287,3.7066,606.87
681,21.033,3.6755,600.98
682,20.713,3.6443,595.09
683,20.393,3.5905,584.42
684,20.072,3.5281,573.1
685,19.75,3.4657,561.78
686,19.427,3.4064,552.2
687,19.105,3.3517,544.02
688,18.94,3.297,535.83
689,18.803,3.2446,529.67
690,18.665,3.224,530.38
691,18.609,3.2034,531.09
692,18.632,3.1828,531.8
693,18.655,3.1621,535.09
694,18.677,3.1412,538.66
695,18.694,3.1204,542.24
696,18.711,3.0929,544.71
697,18.728,3.0558,546.37
698,18.74,3.0186,548.03
699,18.752,2.9803,549.54
700,18.764,2.9283,550.6
701,18.772,2.8763,551.66
702,18.778,2.8243,552.73
703,18.784,2.7735,554.48
704,18.788,2.7232,556.29
705,18.781,2.6729,558.09
706,18.774,2.619,559.33
707,18.767,2.5601,560.19
708,18.685,2.5012,561.05
709,18.586,2.4404,560.35
710,18.488,2.3596,555.66
711,18.3,2.2787,550.96
712,18.017,2.1979,546.27
713,17.735,2.1044,534.15
714,17.444,2.007,521.71
715,17.107,1.9095,509.28
716,16.77,1.8157,497.31
717,16.433,1.7267,485.62
718,16.177,1.6376,473.93
719,15.939,1.552,464.47
720,15.702,1.4947,459.85
721,15.537,1.4375,455.23
722,15.452,1.3803,450.61
723,15.367,1.3397,450.16
724,15.297,1.3036,449.72
